Title,Description,URL,Annotation
Trump hears from undecided Latino voters,"Former President Donald Trump attended a Univision town hall with Latino voters a week after the television station held a similar event with Vice President Kamala Harris. Town hall moderator Enrique Acevedo joins ""The Daily Report"" to explain its value and t…",https://www.cbsnews.com/video/trump-hears-undecided-latino-voters/,Mentions of Kamala through other candidates
"Trump making case to Latinos, Harris dominating fundraising race with 2 weeks until Election Day","Two weeks out from Election Day, Donald Trump is reaching out to Latino voters at a roundtable event in Florida. Meanwhile, Kamala Harris is boasting a fundraising haul that's more than three times what Trump has brought in. CBS News congressional corresponde…",https://www.cbsnews.com/video/trump-making-case-to-latinos-harris-dominating-fundraising-race-with-2-weeks-until-election-day/,Mentions of Kamala through other candidates
"Trump cooks fries at closed Pennsylvania McDonald's, Harris campaigns in Georgia and Michigan",Former President Donald Trump worked a 15-minute shift at a closed McDonald's in Pennsylvania over the weekend while Vice President Kamala Harris held campaign events in Georgia and Michigan. CBS News campaign reporter Katrina Kaufman has the latest on the ra…,https://www.cbsnews.com/video/trump-cooks-fries-at-closed-pennsylvania-mcdonalds-harris-campaigns-in-georgia-and-michigan/,Mentions of Kamala through other candidates
Trump visits a Pennsylvania McDonalds while Harris goes to a Georgia church as election nears,"Former President Donald Trump visited a Pennsylvania McDonald's, claiming without evidence that Vice President Kamala Harris didn't work at the fast food chain while in college. He was also at the Pittsburgh Steelers vs. New York Jets game on Sunday. Meanwhil…",https://www.cbsnews.com/video/trump-visits-a-pennsylvania-mcdonalds-while-harris-goes-to-a-georgia-church-as-election-nears/,Mentions of Kamala through other candidates
"Trump, Harris offering contrasting plans on how they'll deal with Middle East conflicts","As the Biden administration continues to push for cease-fires in the Middle East, the two top contenders to take over the Oval Office, Kamala Harris and Donald Trump, are putting out very different plans on how they would handle the situation. CBS News chief …",https://www.cbsnews.com/video/trump-harris-offering-contrasting-plans-on-how-theyll-deal-with-middle-east-conflicts/,Mentions of Kamala through other candidates
"Trump campaigns on immigration issue, Harris gets a Bush endorsement","Former President Donald Trump delivered remarks in Florida where he focused on the impact of illegal immigration and security at the U.S.-Mexico border. Meanwhile, Barbara Pierce Bush, former President George W. Bush's daughter, endorsed Vice President Kamala…",https://www.cbsnews.com/video/trump-campaigns-on-immigration-issue-harris-gets-a-bush-endorsement/,Mentions of Kamala through other candidates
"FBI investigating hackers who targeted cellphones used by Trump, JD Vance","The FBI is investigating after Chinese government-linked hackers targeted cellphones used by former President Donald Trump and his running mate, JD Vance. CBS News has learned they also targeted the phones or networks used by members of Vice President Kamala …",https://www.cbsnews.com/video/fbi-investigating-hackers-who-targeted-cellphones-used-by-trump-jd-vance/,Mentions of Kamala through other candidates
"Racist comments at Trump NYC rally, Michelle Obama makes case for Harris",Reactions to insults hurled at Donald Trump's Madison Square Garden rally are still emerging as the former president heads to Georgia to campaign. This comes as Vice President Kamala Harris makes a trip to the battleground state of Michigan after appearing at…,https://www.cbsnews.com/video/racist-comments-at-trump-nyc-rally-michelle-obama-makes-case-for-harris/,Mentions of Kamala through other candidates
Michelle Obama not at Atlanta hotel where shooting occurred,"Sources confirmed to CBS News that former first lady Michelle Obama was not at an Atlanta, Georgia, hotel at the time of a shooting there Tuesday afternoon. She is in the state for a rally to mobilize voters for Vice President Kamala Harris. CBS News congress…",https://www.cbsnews.com/video/michelle-obama/,Mentions of Kamala through other candidates
"Trump says he will ""protect women"" whether they ""like it or not""","While campaigning in Green Bay, Wisconsin, on Wednesday, former President Donald Trump told a crowd that ""whether the women like it or not, I'm going to protect them.'"" Vice President Kamala Harris called the remarks ""offensive to women."" Nikole Killion repor…",https://www.cbsnews.com/video/trump-says-he-will-protect-women-whether-they-like-it-or-not/,Mentions of Kamala through other candidates
