Title,Description,URL,Annotation
Kamala Harris' star-studded endorsements clearly have Donald Trump bothered,Ari Melber explains the cultural and political impact of Beyoncé personally campaigning for Harris in an effort to defeat Trump,https://www.msnbc.com/top-stories/latest/beyonce-harris-rally-texas-endorsement-trump-houston-rcna177281,Endorsement
Beyoncé to appear at Harris rally Friday night in Houston,"A number of Texas-based stars are expected at Vice President Kamala Harris' Friday's rally, including country singer Wilie Nelson and Beyoncé's mother Tina Knowles.",https://www.cbsnews.com/news/beyonce-kamala-harris-houston-texas-rally/,Endorsement
Biden to cast early vote in Delaware with Election Day over a week away,President Biden is casting his ballot months after opting to abandon his reelection bid and endorsing Vice President Kamala Harris for the Democratic nomination.,https://www.cbsnews.com/news/joe-biden-early-vote-delaware-presidential-election-2024/,Endorsement
Beyoncé endorses Harris for president at Houston rally,"Beyoncé, Kelly Rowland, Willie Nelson and Jessica Alba are the latest big-name celebrities to join Vice President Kamala Harris on the campaign trail.",https://www.cbsnews.com/news/beyonce-willie-nelson-houston-rally-kamala-harris-reproductive-rights/,Endorsement
Former Capitol police officers emerge as busy Harris campaign surrogates,"Former law enforcement officers who defended the Capitol during the Jan. 6, 2021 riot have been helping the campaigns of Kamala Harris and other Democrats this fall.",https://www.cbsnews.com/news/capitol-police-officers-harris-campaign-surrogates/,Endorsement
Kamala Harris' birthday is shattering stereotypes — and making Trump seem even older,"Happy birthday, Kamala Harris. Donal Trump's age and fatigue makes him seem too old to be president. But Mika Brzezinski argues Harris makes 60 looks young.",https://www.msnbc.com/opinion/msnbc-opinion/happy-birthday-kamala-harris-women-60-rcna176153,Endorsement
I'm a lifelong Wisconsin conservative. Here's why I just endorsed Kamala Harris.,I'm a Wisconsin Republicans. Here's why I'm voting for Kamala Harris over Donald Trump — and why Mike Pence and Mitt Romney could learn from Liz Cheney.,https://www.msnbc.com/opinion/msnbc-opinion/wisconsin-republican-endorsing-kamala-harris-donald-trump-rcna175321,Endorsement
How Trump convinced a conservative evangelical pastor to vote for Kamala Harris,"Kamala Harris has the character, competence and capacity that makes a conservative evangelical pastor like me choose her over the habitually lying Donald Trump.",https://www.msnbc.com/opinion/msnbc-opinion/evangelical-abortion-same-sex-marriage-harris-rcna178294,Endorsement
The list of Harris’ Republican backers adds some striking new names,The growing number of prominent Republicans backing Kamala Harris know that they face possible retaliation from Donald Trump. They're doing it anyway.,https://www.msnbc.com/rachel-maddow-show/maddowblog/list-harris-republican-backers-adds-striking-new-names-rcna177068,Endorsement
Harris and Obama campaign together for first time,"Former President Barack Obama introduced Vice President Kamala Harris at a campaign rally in Atlanta, Georgia, on Thursday night, marking the first time they have campaigned together. CBS News congressional correspondent Nikole Killion reports.",https://www.cbsnews.com/video/harris-obama-campaign-together-first-time/,Endorsement
Liz Cheney hits Harris campaign trail in bid for Republican battleground voters,"Vice President Kamala Harris is courting disaffected Republican voters by hitting the trail with Liz Cheney in the crucial blue wall states of Pennsylvania, Michigan and Wisconsin. Nancy Cordes has more.",https://www.cbsnews.com/video/liz-cheney-hits-harris-campaign-trail-in-bid-for-republican-battleground-voters/,Endorsement
Harris holds star-studded Pennsylvania rallies,"In her last rallies before Election Day, Vice President Kamala Harris was joined by Lady Gaga, Oprah, Katy Perry and Fat Joe in star-studded events aimed at energizing Pennsylvania voters.",https://www.cbsnews.com/video/harris-holds-star-studded-pennsylvania-rallies/,Endorsement
"Rep. Gabe Amo on Kamala Harris' celebrity endorsements, final day of campaign","Vice President Kamala Harris has seen a number of big-name stars lend her their support in her run for the White House. Rep. Gabe Amo, a Harris campaign surrogate, joined CBS News to discuss the impact of those endorsements.",https://www.cbsnews.com/video/rep-gabe-amo-on-kamala-harris-celebrity-endorsements-final-day-of-campaign/,Endorsement
"Rep. Gabe Amo on Kamala Harris' celebrity endorsements, final day of campaign","Vice President Kamala Harris has seen a number of big-name stars lend her their support in her run for the White House. Rep. Gabe Amo, a Harris campaign surrogate, joined CBS News to discuss the impact of those endorsements.",https://www.cbsnews.com/video/rep-gabe-amo-on-kamala-harris-celebrity-endorsements-final-day-of-campaign/,Endorsement
What Kamala Harris' troubling embrace of war hawks means,Kamala Harris has embraced Israel hawks Ritchie Torres and Liz Cheney in Michigan. That's not going to help her with voters moving to the Green Party over Gaza.,https://www.msnbc.com/opinion/msnbc-opinion/harris-michigan-election-israel-gaza-cheney-torres-rcna177004,Endorsement
Jeff Bezos' absurd defense of gutting The Washington Post's endorsement policy,Jeff Bezos' defense of quashing a Kamala Harris endorsement at The Washington Post is incoherent and self-defeating.,https://www.msnbc.com/opinion/msnbc-opinion/bezos-washington-post-endorsement-trump-harris-rcna177787,Endorsement
"Harris with Obama in Georgia, Trump to West with Gabbard, Ramaswamy","Vice President Kamala Harris is campaigning with former President Barack Obama in Atlanta, Georgia, as former President Donald Trump stops in Arizona and Nevada to campaign with allies Tulsi Gabbard and Vivek Ramaswamy. CBS News campaign reporters Nidia Cavaz…",https://www.cbsnews.com/video/harris-with-obama-in-georgia-trump-to-west-with-gabbard-ramaswamy/,Endorsement
Behind efforts to appeal to 2024 women voters,"Vice President Kamala Harris' campaign is positioning surrogates like former first lady Michelle Obama to appeal to women voters before Election Day with reminders about vote secrecy and difficult partner dynamics. Dr. Jessica Borelli, a psychological science…",https://www.cbsnews.com/video/behind-efforts-to-appeal-to-2024-women-voters/,Endorsement
"Harris calls attention to abortion rights in Michigan, Texas","One day after holding a rally with Beyoncé in Houston, Texas, focused on reproductive rights, Vice President Kamala Harris was in Michigan Saturday again campaigning on access to abortion, where she met with doctors who provide reproductive health care. Harri…",https://www.cbsnews.com/video/harris-calls-attention-to-abortion-rights-in-michigan-texas/,Endorsement
"Harris leans on star power, Trump targets Cheney on Carlson interview","Actress Jeniffer Lopez and Mexican rock band Maná joined Vice President Kamala Harris at a campaign rally in Las Vegas, Nevada, Thursday, the same day former President Donald Trump attacked former Rep. Liz Cheney, a Harris campaign surrogate, during a live in…",https://www.cbsnews.com/video/harris-leans-on-star-power-trump-targets-cheney/,Endorsement
"Trump supporters concerned about election fraud, Bill Gates says privately he's backing Harris","With less than two weeks until Election Day, former President Donald Trump's supporters are voicing concerns about potential election fraud. Meanwhile, Bill Gates is saying privately that he's donating $50 million to back Kamala Harris' campaign. CBS News' Ni…",https://www.cbsnews.com/video/trump-harris-address-election-certification-with-election-day-nearing/,Endorsement
How the gender gap could impact the presidential race in Pennsylvania,"Vice President Kamala Harris is counting on suburban women to help her win the election, and she received some unexpected help from some longtime Republicans. CBS News' Weijia Jiang spoke to the cofounder of a group urging fellow Republican women to vote for …",https://www.cbsnews.com/video/how-the-gender-gap-could-impact-the-presidential-race-in-pennsylvania/,Endorsement
"Bruce Springsteen, Tyler Perry and others join Harris at star-studded rally amid early voting","A star-studded rally for Vice President Kamala Harris included former President Barack Obama, singer Bruce Springsteen, actor Samuel L. Jackson and filmmakers Tyler Perry and Spike Lee on Thursday in Atlanta. The Harris campaign looked to mobilize key parts o…",https://www.cbsnews.com/video/bruce-springsteen-tyler-perry-and-others-join-harris-at-star-studded-rally-amid-early-voting/,Endorsement
"Harris chats with Cheney, Trump tours North Carolina Helene damage","Vice President Kamala Harris kicked off a set of appearances with former GOP Rep. Liz Cheney in Pennsylvania, Michigan and Wisconsin to court moderate voters in those key battleground states. Meanwhile, former President Donald Trump is in North Carolina, anot…",https://www.cbsnews.com/video/harris-chats-with-cheney-trump-tours-north-carolina-helene-damage/,Endorsement
"Eminem, Obama on campaign trail for Harris as VP does series of interviews","Vice President Kamala Harris is making her case for president through a series of interviews as former President Barack Obama and rapper Eminem headlined a rally for her in Michigan on Tuesday. In a new interview, Harris revealed she is not only thinking abou…",https://www.cbsnews.com/video/eminem-obama-on-campaign-trail-for-harris-as-vp-does-series-of-interviews/,Endorsement
Beyoncé joining Harris in Texas as campaign ramps up endorsements,Vice President Kamala Harris is joining former President Barack Obama in Georgia and will be joined by Beyoncé in Texas as endorsements for her campaign continue to emerge. This comes as comments linking former President Donald Trump to fascism reverberate be…,https://www.cbsnews.com/video/beyonc-joining-harris-in-texas-as-campaign-ramps-up-endorsements/,Endorsement
"Harris, Trump in Texas with 11 days until Election Day","The presidential candidates are in the Lone Star State on Friday. Vice President Kamala Harris will team up with Beyoncé, while former President Donald Trump will sit down with Joe Rogan. CBS News' Zak Hudak and Fin Gómez have the latest on the state of the 2…",https://www.cbsnews.com/video/harris-trump-texas-11-days-until-election-day/,Endorsement
